match_id,updated_at,odds_type,pool_id,pool_status,inst_no,inplay,line_type,line_id,line_status,condition,comb_id,str,status,current_odds,selection_str,selection_name_en,selection_name_ch
50060631,2026-01-30 06:31:04.813000+08:00,HIL,1420671003,PAYOUTSTARTED,0,False,in-play,1,PAYOUTSTARTED,3.0/3.5,1,H,WIN,1.88,H,High,大
50060631,2026-01-30 06:31:04.813000+08:00,HIL,1420671003,PAYOUTSTARTED,0,False,in-play,1,PAYOUTSTARTED,3.0/3.5,2,L,LOSE,1.82,L,Low,細
50060631,2026-01-30 06:31:04.813000+08:00,HIL,1420671003,PAYOUTSTARTED,0,False,in-play,2,PAYOUTSTARTED,3.5,1,H,WIN,2.13,H,High,大
50060631,2026-01-30 06:31:04.813000+08:00,HIL,1420671003,PAYOUTSTARTED,0,False,in-play,2,PAYOUTSTARTED,3.5,2,L,LOSE,1.63,L,Low,細
50060631,2026-01-30 06:31:04.813000+08:00,HIL,1420671003,PAYOUTSTARTED,0,False,in-play,3,PAYOUTSTARTED,4.5,1,H,WIN,3.4,H,High,大
50060631,2026-01-30 06:31:04.813000+08:00,HIL,1420671003,PAYOUTSTARTED,0,False,in-play,3,PAYOUTSTARTED,4.5,2,L,LOSE,1.26,L,Low,細
50060631,2026-01-30 06:31:04.813000+08:00,HIL,1420671003,PAYOUTSTARTED,0,False,pre-play,2,AVAILABLE,3.5,1,H,AVAILABLE,2.13,H,High,大
50060631,2026-01-30 06:31:04.813000+08:00,HIL,1420671003,PAYOUTSTARTED,0,False,pre-play,2,AVAILABLE,3.5,2,L,AVAILABLE,1.63,L,Low,細
50060631,2026-01-30 06:31:04.813000+08:00,HIL,1420671003,PAYOUTSTARTED,0,False,pre-play,1,AVAILABLE,3.0/3.5,1,H,AVAILABLE,1.88,H,High,大
50060631,2026-01-30 06:31:04.813000+08:00,HIL,1420671003,PAYOUTSTARTED,0,False,pre-play,1,AVAILABLE,3.0/3.5,2,L,AVAILABLE,1.82,L,Low,細
50060631,2026-01-30 06:31:04.813000+08:00,HIL,1420671003,PAYOUTSTARTED,0,False,pre-play,3,AVAILABLE,4.5,1,H,AVAILABLE,3.4,H,High,大
50060631,2026-01-30 06:31:04.813000+08:00,HIL,1420671003,PAYOUTSTARTED,0,False,pre-play,3,AVAILABLE,4.5,2,L,AVAILABLE,1.26,L,Low,細
50060631,2026-01-30 06:31:04.813000+08:00,TTG,1420680012,PAYOUTSTARTED,0,False,in-play,0,PAYOUTSTARTED,0.0,1,0,LOSE,18.0,0,0,0
50060631,2026-01-30 06:31:04.813000+08:00,TTG,1420680012,PAYOUTSTARTED,0,False,in-play,0,PAYOUTSTARTED,0.0,2,1,LOSE,6.8,1,1,1
50060631,2026-01-30 06:31:04.813000+08:00,TTG,1420680012,PAYOUTSTARTED,0,False,in-play,0,PAYOUTSTARTED,0.0,3,2,LOSE,4.0,2,2,2
50060631,2026-01-30 06:31:04.813000+08:00,TTG,1420680012,PAYOUTSTARTED,0,False,in-play,0,PAYOUTSTARTED,0.0,4,3,LOSE,3.7,3,3,3
50060631,2026-01-30 06:31:04.813000+08:00,TTG,1420680012,PAYOUTSTARTED,0,False,in-play,0,PAYOUTSTARTED,0.0,5,4,LOSE,4.25,4,4,4
50060631,2026-01-30 06:31:04.813000+08:00,TTG,1420680012,PAYOUTSTARTED,0,False,in-play,0,PAYOUTSTARTED,0.0,6,5,LOSE,6.0,5,5,5
50060631,2026-01-30 06:31:04.813000+08:00,TTG,1420680012,PAYOUTSTARTED,0,False,in-play,0,PAYOUTSTARTED,0.0,7,6,WIN,11.0,6,6,6
50060631,2026-01-30 06:31:04.813000+08:00,TTG,1420680012,PAYOUTSTARTED,0,False,in-play,0,PAYOUTSTARTED,0.0,8,7+,LOSE,12.5,7+,7+,7+
50060631,2026-01-30 06:31:04.813000+08:00,TTG,1420680012,PAYOUTSTARTED,0,False,pre-play,0,AVAILABLE,0.0,1,0,AVAILABLE,18.0,0,0,0
50060631,2026-01-30 06:31:04.813000+08:00,TTG,1420680012,PAYOUTSTARTED,0,False,pre-play,0,AVAILABLE,0.0,2,1,AVAILABLE,6.8,1,1,1
