match_id,front_end_id,kick_off_time,defined_pools,refund_pools,payout_refund_pools,tournament_code,tournament_name_en,tournament_name_ch,home_team_id,home_team_name_en,home_team_name_ch,away_team_id,away_team_name_en,away_team_name_ch,HT_home_goals,HT_away_goals,HT_total_goals,FT_home_goals,FT_away_goals,FT_total_goals,HT_home_corners,HT_away_corners,HT_total_corners,FT_home_corners,FT_away_corners,FT_total_corners
50060631,FB2757,2026-01-29 04:00:00+08:00,"['HIL', 'OOE', 'HFT', 'TTG', 'LGS', 'CHL', 'FCH', 'FHA', 'FGS', 'HHA', 'FCS', 'FHL', 'CRS', 'HAD', 'FTS', 'AGS', 'HDC']",['LGS'],"['HIL', 'OOE', 'HFT', 'TTG', 'LGS', 'CHL', 'FCH', 'FHA', 'FGS', 'HHA', 'FCS', 'FHL', 'CRS', 'HAD', 'FTS', 'AGS', 'HDC']",UCL,UE Champions,歐洲聯賽冠軍盃,50000449,Benfica,賓菲加,50002589,Real Madrid,皇家馬德里,2,1,3,4,2,6,5.0,1.0,6.0,6.0,5.0,11.0
50060535,FB2624,2026-01-25 04:00:00+08:00,"['FCS', 'SGA', 'NTS', 'SGA', 'FGS', 'SGA', 'HHA', 'SGA', 'LGS', 'FCH', 'SGA', 'SGA', 'CHD', 'NTS', 'SGA', 'SGA', 'HDC', 'SGA', 'HAD', 'SGA', 'FTS', 'CRS', 'HIL', 'SGA', 'FHH', 'SGA', 'SGA', 'SGA', 'CHL', 'TTG', 'SGA', 'FHC', 'HFT', 'FHA', 'SGA', 'SGA', 'SGA', 'AGS', 'OOE', 'SGA', 'SGA', 'FHL']",[],"['FCS', 'SGA', 'NTS', 'FGS', 'HHA', 'LGS', 'FCH', 'CHD', 'HDC', 'HAD', 'FTS', 'CRS', 'HIL', 'FHH', 'CHL', 'TTG', 'FHC', 'HFT', 'FHA', 'AGS', 'OOE', 'FHL']",SFL,Spanish Division 1,西班牙甲組聯賽,50003323,Villarreal,維拉利爾,50002589,Real Madrid,皇家馬德里,0,0,0,0,2,2,4.0,2.0,6.0,6.0,6.0,12.0
50058963,FB2425,2026-01-21 04:00:00+08:00,"['SGA', 'SGA', 'HAD', 'LGS', 'SGA', 'NTS', 'SGA', 'NTS', 'FTS', 'SGA', 'SGA', 'HFT', 'SGA', 'TTG', 'MSP', 'SGA', 'CRS', 'SGA', 'HDC', 'NTS', 'MSP', 'MSP', 'SGA', 'NTS', 'SGA', 'OOE', 'CHL', 'SGA', 'NTS', 'SGA', 'FCS', 'CHD', 'SGA', 'MSP', 'SGA', 'FHH', 'FGS', 'FHL', 'SGA', 'NTS', 'HIL', 'SGA', 'MSP', 'FHC', 'NTS', 'SGA', 'SGA', 'NTS', 'HHA', 'FCH', 'FHA', 'AGS', 'SGA']",[],"['SGA', 'HAD', 'LGS', 'NTS', 'FTS', 'HFT', 'TTG', 'MSP', 'CRS', 'HDC', 'OOE', 'CHL', 'FCS', 'CHD', 'FHH', 'FGS', 'FHL', 'HIL', 'FHC', 'HHA', 'FCH', 'FHA', 'AGS']",UCL,UE Champions,歐洲聯賽冠軍盃,50002589,Real Madrid,皇家馬德里,50002140,Monaco,摩納哥,2,0,2,6,1,7,3.0,3.0,6.0,10.0,6.0,16.0
50060131,FB2317,2026-01-17 21:00:00+08:00,"['SGA', 'SGA', 'LGS', 'CHL', 'HFT', 'CHD', 'SGA', 'SGA', 'FHA', 'HAD', 'FCH', 'NTS', 'SGA', 'SGA', 'FHL', 'SGA', 'SGA', 'SGA', 'CRS', 'FCS', 'SGA', 'FHH', 'FTS', 'HDC', 'TTG', 'SGA', 'FHC', 'SGA', 'FGS', 'SGA', 'SGA', 'HHA', 'SGA', 'SGA', 'SGA', 'NTS', 'OOE', 'SGA', 'NTS', 'SGA', 'HIL', 'AGS', 'SGA']",[],"['SGA', 'LGS', 'CHL', 'HFT', 'CHD', 'FHA', 'HAD', 'FCH', 'NTS', 'FHL', 'CRS', 'FCS', 'FHH', 'FTS', 'HDC', 'TTG', 'FHC', 'FGS', 'HHA', 'OOE', 'HIL', 'AGS']",SFL,Spanish Division 1,西班牙甲組聯賽,50002589,Real Madrid,皇家馬德里,50001900,Levante,利雲特,0,0,0,2,0,2,2.0,0.0,2.0,8.0,0.0,8.0
50060276,FB2157,2026-01-15 04:00:00+08:00,"['TTG', 'LGS', 'FHA', 'HHA', 'FCS', 'HIL', 'FTS', 'CRS', 'AGS', 'HAD', 'HDC', 'OOE', 'HFT', 'FHL', 'FGS']",[],"['TTG', 'LGS', 'FHA', 'HHA', 'FCS', 'HIL', 'FTS', 'CRS', 'AGS', 'HAD', 'HDC', 'OOE', 'HFT', 'FHL', 'FGS']",SFC,Spanish Cup,西班牙盃,50000121,Albacete,阿爾巴塞特,50002589,Real Madrid,皇家馬德里,1,1,2,3,2,5,,,,,,
50060271,FB2018,2026-01-12 03:00:00+08:00,"['FHC', 'NTS', 'HIL', 'NTS', 'SGA', 'SGA', 'SGA', 'HHA', 'SGA', 'SGA', 'TTG', 'NTS', 'SGA', 'SGA', 'SGA', 'FHL', 'SGA', 'CHD', 'FTS', 'NTS', 'HAD', 'SGA', 'NTS', 'NTS', 'HFT', 'FCH', 'SGA', 'FHA', 'SGA', 'CHL', 'SGA', 'SGA', 'SGA', 'SGA', 'OOE', 'CRS', 'FCS', 'SGA', 'SGA', 'SGA', 'FHH', 'HDC', 'SGA']",[],"['FHC', 'NTS', 'HIL', 'SGA', 'HHA', 'TTG', 'FHL', 'CHD', 'FTS', 'HAD', 'HFT', 'FCH', 'FHA', 'CHL', 'OOE', 'CRS', 'FCS', 'FHH', 'HDC']",SSC,Spanish Super Cup,西班牙超級盃,50000369,Barcelona,巴塞隆拿,50002589,Real Madrid,皇家馬德里,2,2,4,3,2,5,4.0,3.0,7.0,5.0,6.0,11.0
50059731,FB1882,2026-01-09 03:00:00+08:00,"['SGA', 'HHA', 'SGA', 'LGS', 'NTS', 'FCH', 'MSP', 'FGS', 'SGA', 'SGA', 'MSP', 'AGS', 'SGA', 'HDC', 'NTS', 'HAD', 'FTS', 'SGA', 'CHL', 'MSP', 'FHC', 'OOE', 'NTS', 'SGA', 'TTG', 'FHL', 'FHH', 'MSP', 'SGA', 'NTS', 'SGA', 'SGA', 'CHD', 'CRS', 'SGA', 'FCS', 'SGA', 'MSP', 'SGA', 'HFT', 'FHA', 'SGA', 'SGA', 'SGA', 'SGA', 'SGA', 'SGA', 'SGA', 'HIL']",[],"['SGA', 'HHA', 'LGS', 'NTS', 'FCH', 'MSP', 'FGS', 'AGS', 'HDC', 'HAD', 'FTS', 'CHL', 'FHC', 'OOE', 'TTG', 'FHL', 'FHH', 'CHD', 'CRS', 'FCS', 'HFT', 'FHA', 'HIL']",SSC,Spanish Super Cup,西班牙超級盃,50000267,Atletico Madrid,馬德里體育會,50002589,Real Madrid,皇家馬德里,0,1,1,1,2,3,4.0,0.0,4.0,9.0,1.0,10.0
50059173,FB1716,2026-01-04 23:15:00+08:00,"['NTS', 'LGS', 'SGA', 'FHL', 'SGA', 'CHD', 'SGA', 'SGA', 'FCS', 'HAD', 'FTS', 'SGA', 'TTG', 'SGA', 'SGA', 'NTS', 'FHC', 'SGA', 'OOE', 'HHA', 'SGA', 'NTS', 'NTS', 'FGS', 'NTS', 'SGA', 'SGA', 'CRS', 'FHH', 'NTS', 'HIL', 'SGA', 'SGA', 'SGA', 'SGA', 'AGS', 'HDC', 'CHL', 'SGA', 'SGA', 'HFT', 'SGA', 'SGA', 'FCH', 'FHA', 'SGA']",[],"['NTS', 'LGS', 'SGA', 'FHL', 'CHD', 'FCS', 'HAD', 'FTS', 'TTG', 'FHC', 'OOE', 'HHA', 'FGS', 'CRS', 'FHH', 'HIL', 'AGS', 'HDC', 'CHL', 'HFT', 'FCH', 'FHA']",SFL,Spanish Division 1,西班牙甲組聯賽,50002589,Real Madrid,皇家馬德里,50000462,Betis,貝迪斯,1,0,1,5,1,6,3.0,4.0,7.0,5.0,8.0,13.0
50062755,FB4636,2026-03-03 04:00:00+08:00,"['SGA', 'LGS', 'FCH', 'SGA', 'CHD', 'SGA', 'SGA', 'SGA', 'SGA', 'FHA', 'HHA', 'CHL', 'SGA', 'OOE', 'FGS', 'SGA', 'SGA', 'HIL', 'HFT', 'SGA', 'SGA', 'AGS', 'SGA', 'TTG', 'SGA', 'SGA', 'SGA', 'CRS', 'SGA', 'SGA', 'FHC', 'SGA', 'HAD', 'SGA', 'FHL', 'SGA', 'FCS', 'FTS', 'NTS', 'HDC', 'FHH']",[],"['SGA', 'LGS', 'FCH', 'CHD', 'FHA', 'HHA', 'CHL', 'OOE', 'FGS', 'HIL', 'HFT', 'AGS', 'TTG', 'CRS', 'FHC', 'HAD', 'FHL', 'FCS', 'FTS', 'NTS', 'HDC', 'FHH']",SFL,Spanish Division 1,西班牙甲組聯賽,50002589,Real Madrid,皇家馬德里,50001393,Getafe,基達菲,0,1,1,0,1,1,4.0,1.0,5.0,10.0,2.0,12.0
50062427,FB4408,2026-02-26 04:00:00+08:00,"['HIL', 'SGA', 'SGA', 'SGA', 'SGA', 'NTS', 'FCS', 'AGS', 'NTS', 'CRS', 'MSP', 'FHC', 'SGA', 'SGA', 'SGA', 'NTS', 'SGA', 'HFT', 'NGS', 'CHD', 'NGS', 'MSP', 'FHA', 'SGA', 'HHA', 'SGA', 'TTG', 'SGA', 'SGA', 'SGA', 'SGA', 'NGS', 'NTS', 'SGA', 'FGS', 'HAD', 'MSP', 'SGA', 'HDC', 'SGA', 'FCH', 'OOE', 'LGS', 'CHL', 'FTS', 'MSP', 'SGA', 'FHH', 'FHL', 'SGA', 'NGS', 'SGA']","['SGA', 'MSP']","['HIL', 'SGA', 'NTS', 'FCS', 'AGS', 'CRS', 'MSP', 'FHC', 'HFT', 'NGS', 'CHD', 'FHA', 'HHA', 'TTG', 'FGS', 'HAD', 'HDC', 'FCH', 'OOE', 'LGS', 'CHL', 'FTS', 'FHH', 'FHL']",UCL,UE Champions,歐洲聯賽冠軍盃,50002589,Real Madrid,皇家馬德里,50000449,Benfica,賓菲加,1,1,2,2,1,3,2.0,3.0,5.0,4.0,7.0,11.0
