id,code,name_ch,name_en
50000001,TMN,1860慕尼黑,1860 Munich
50430573,WBA,3B亞馬遜女足,3B da Amazonia Women
50000002,OCT,十月九日,9 de Octubre
50000003,AAS,澳職明星隊,A-League All Stars
50000004,AAG,真特,AA Gent
50362134,GTW,真特女足,AA Gent Women
50000005,ABC,ABC納泰,ABC Natal
50000006,ACA,阿些斯奧,AC Ajaccio
50000007,AES,艾米恩斯體育會,AC Amiens
50586741,AIR,AC卡連拿,AC Carina
50000008,ACM,AC米蘭,AC Milan
50355625,AWC,AC米蘭女足,AC Milan Women
50000009,U13,AC-尼科西亞,AC Milan-APOEL
50324165,R94,AC米蘭-阿特蘭大,AC Milan-Atalanta
50324164,R93,AC米蘭-賓菲加,AC Milan-Benfica
50000010,U12,AC米蘭-馬賽,AC Milan-Marseille
50240301,AUU,AC奧盧,AC Oulu
50000011,ACS,聖路爾斯,AC St. Louis
50600009,SNA,AC史杜丹達拿,AC Studenterna
50000012,ACT,拖連奴,AC Torino
50557337,AVM,AC維拉米亞,AC Vila Mea
50331715,VIA,AC維圖斯,AC Virtus
50560154,FAF,法菲,AD Fafe
50267253,MAD,AD梅里達,AD Merida
50000013,SCL,AD聖卡洛斯,AD San Carlos
50319123,ADT,ADT塔爾馬,ADT Tarma
50000014,AEK,AEK雅典,AEK Athens
50462448,WAE,AEK雅典女足,AEK Athens Women
50000015,LAR,AEK拉亞拿卡,AEK Larnaca
50000016,AEL,AEL利馬素,AEL Limassol
50266845,AFO,AF維洛斯,AF Virois
50000017,AFU,艾斯基斯杜拿,AFC Eskilstuna
50000018,FYD,AFC費迪,AFC Fylde
50000019,TEL,AFC特爾福德,AFC Telford
50000020,TTT,托頓,AFC Totton
50000021,TBZ,AFC圖比斯,AFC Tubize
50000022,AWB,AFC 溫布頓,AFC Wimbledon
50000023,AGF,阿侯斯,AGF Aarhus
50000024,AGM,AGMK足球會,AGMK FC
50000025,AGV,阿高夫,AGOVV Apeldoorn
156,AIK,AIK,AIK
50000026,ASA,AIK蘇納,AIK Solna
50353898,AKW,AIK蘇納女足,AIK Solna Women
50544237,APW,APF FC女足,APF FC Women
50000027,LHT,萊卡特,APIA Leichhardt
50000028,APO,尼科西亞,APOEL
50000029,ASB,博韋,AS Beauvais
50000030,ABZ,比斯亞斯,AS Beziers
50000031,ASM,明古迪斯,AS Minguettes
50000032,APR,皮萊,AS Pirae
50000033,TCN,特倫辛,AS Trencin
50000034,ASP,阿拉比拉卡,ASA Arapiraca
50555605,ABM,比斯海姆,ASC Biesheim
50000035,ADZ,安德列斯奧斯,ASF Andrezieux
50000036,BLF,ASM貝爾福,ASM Belfort
50000037,GEL,ASV加爾,ASV Geel
50000038,ATG,格拉曼尼,AT Gramanet
50260993,VFQ,AVS,AVS
50000039,AZZ,阿爾克馬爾,AZ Alkmaar
50362115,AWZ,阿爾克馬爾女足,AZ Alkmaar Women
50000040,AAC,亞琛,Aachen
50000041,AII,亞琛二隊,Aachen II
50000042,AAL,阿爾堡,Aalborg
50000043,AAE,阿里辛特,Aalesund
50566599,WSA,阿里辛特女足,Aalesund Women
50000044,ABE,鴨巴甸,Aberdeen
50356316,AFW,鴨巴甸女足,Aberdeen Women
50000045,ABY,艾伯里斯特夫,Aberystwyth Town
50357018,AHF,艾伯哈FC,Abha FC
50000046,ART,艾巴蘭迪斯,Abrantes
50000047,APC,卡貝略港大學,Academia Puerto Cabello
50000048,ACC,科英布拉大學,Academica Coimbra
50585202,USS,阿卡蘇索,Acassuso
50000049,ACR,阿克寧頓,Accrington Stanley
50000050,AHS,阿基里斯,Achilles
50000051,ACH,艾治拿斯,Achnas
50289780,ADS,阿達納鐵路,Adana Demirspor
50000052,ADD,阿德萊德城,Adelaide City
50599269,ACB,阿德萊德眼鏡蛇,Adelaide Cobras
50476345,ATR,阿德萊德突擊者,Adelaide Croatia Raiders
50000053,AOY,阿德萊德奧林匹克,Adelaide Olympic
50000054,ADL,阿德萊德聯,Adelaide Utd
50377155,WAU,阿德萊德聯女足,Adelaide Utd Women
50000055,ADW,艾特米拿,Admira Wacker
50000056,AFG,阿富汗,Afghanistan
50000057,AF4,阿富汗男亞足,Afghanistan AM
50332396,AF2,阿富汗U20,Afghanistan U20
50302158,AF3,阿富汗U23,Afghanistan U23
50000058,W14,非洲,Africa
50000059,AGD,阿格德,Agde
50000060,AGE,艾根,Agen
50462430,WGR,阿格拉姆女足,Agram Women
50000061,APU,阿高比古里奧,Agropecuario
50000062,AAT,阿古亞辛達,Agua Santa
50282104,ADM,阿古亞馬拉巴,Aguia de Maraba
50002636,IGI,阿古拿斯,Aguilas Doradas
50308218,AUI,阿古拉斯FC,Aguilas FC
50000063,AFK,阿哈爾,Ahal FK
50000064,AHL,艾倫,Ahlen
50000065,AFR,空軍體育會,Air Force AC
50000066,AIU,艾迪爾聯,Airdrieonians
50000067,FAZ,FC艾查威爾,Aizawl FC
50000068,AJX,阿積士,Ajax
50000069,AAM,阿積士業餘隊,Ajax Amateure
50000070,AXC,阿積士開普敦,Ajax Cape Town
50362114,AXW,阿積士女足,Ajax Women
50000071,R56,阿積士-巴塞,Ajax-Barcelona
50000072,R58,阿積士-祖雲達斯,Ajax-Juventus
50000073,R57,阿積士-利物浦,Ajax-Liverpool
50000074,R55,阿積士-曼城,Ajax-Manchester City
50000075,R59,阿積士-曼聯,Ajax-Manchester Utd
50000076,R41,阿積士-波圖,Ajax-Porto
50000077,R60,阿積士-熱刺,Ajax-Tottenham
50482781,AJM,阿吉曼會,Ajman Club
50000078,APD,彭迪夫學院,Akademija Pandev
2260,AKH,阿卡沙,Akhisar Belediyespor
50000079,AKS,阿卡沙,Akhisarspor
50000080,TGY,艾卡馬特,Akhmat Grozny
50272543,AKY,阿克隆陶爾亞蒂,Akron Tolyatti
50000081,AKB,阿克圖比,Aktobe
50462456,WAK,阿克圖比女足,Aktobe Women
50357012,ADH,艾阿達拉,Al Adalah
50000082,AHI,阿爾阿里,Al Ahli
